,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
298,23298854,2,1.6,2014-06-10 19:40:02,西部公共汽车,334路,粤BH1177,1180,1180.0,22.57125,114.057052,-0.0866342316549754,35
285,660060439,2,1.2,2014-06-10 19:42:42,西部公共汽车,334路,粤BH1177,1182,1182.0,22.571466,114.054565,0.08857755799850923,32
357,251355542,2,1.0,2014-06-10 19:46:20,西部公共汽车,334路,粤BH1177,1186,1186.0,22.570266,114.041053,0.0,29
517,324442197,2,1.6,2014-06-10 19:46:31,西部公共汽车,334路,粤BH1177,1186,1186.0,22.570266,114.041053,0.4451662016076616,29
543,296085750,4,3.15,2014-06-10 19:47:08,西部公共汽车,334路,粤BH1177,1187,1187.0,22.569349,114.03913100000001,0.8312591356153259,29
575,325360917,2,1.6,2014-06-10 19:56:54,西部公共汽车,334路,粤BH1177,1196,1196.0,22.562683,114.03305,0.16869963072036678,26
367,290327743,2,1.6,2014-06-10 19:58:15,西部公共汽车,334路,粤BH1177,1198,1198.0,22.560934,114.02278100000001,0.09386093312396199,24
284,660029022,2,1.6,2014-06-10 19:59:21,西部公共汽车,334路,粤BH1177,1199,1199.0,22.5606,114.01923300000001,0.0,23
286,660220501,2,1.6,2014-06-10 19:59:20,西部公共汽车,334路,粤BH1177,1199,1199.0,22.5606,114.01923300000001,-0.08216515991321854,23
547,320867964,2,1.2,2014-06-10 20:09:35,西部公共汽车,334路,粤BH1177,1209,1209.0,22.564266,113.97471599999999,0.0,20
421,293344243,2,1.2,2014-06-10 20:09:39,西部公共汽车,334路,粤BH1177,1209,1209.0,22.564266,113.97471599999999,-0.5149663413812747,20
544,296264677,2,1.6,2014-06-10 20:12:34,西部公共汽车,334路,粤BH1177,1212,1212.0,22.568899,113.96652900000001,0.0,19
520,324522716,2,1.6,2014-06-10 20:12:24,西部公共汽车,334路,粤BH1177,1212,1212.0,22.568899,113.96652900000001,-0.2622553987169629,19
589,327167841,2,1.6,2014-06-10 20:14:34,西部公共汽车,334路,粤BH1177,1214,1214.0,22.570566,113.960319,0.04873448010320914,18
270,329791072,2,1.6,2014-06-10 20:18:06,西部公共汽车,334路,粤BH1177,1218,1218.0,22.570083,113.95041599999999,0.0,17
442,293043685,2,1.2,2014-06-10 20:18:45,西部公共汽车,334路,粤BH1177,1218,1218.0,22.570083,113.95041599999999,0.0,17
315,326565768,2,1.6,2014-06-10 20:18:43,西部公共汽车,334路,粤BH1177,1218,1218.0,22.570083,113.95041599999999,1.1808717456244866,17
307,323722131,2,1.2,2014-06-10 20:20:56,西部公共汽车,334路,粤BH1177,1220,1220.0,22.564849,113.94826499999999,0.0,15
327,361110281,2,1.6,2014-06-10 20:20:48,西部公共汽车,334路,粤BH1177,1220,1220.0,22.564849,113.94826499999999,1.2192250696854605,15
309,324657275,2,1.6,2014-06-10 20:22:34,西部公共汽车,334路,粤BH1177,1222,1222.0,22.560667000000002,113.946731,0.0,14
448,296031621,2,1.6,2014-06-10 20:22:49,西部公共汽车,334路,粤BH1177,1222,1222.0,22.560667000000002,113.946731,0.0,14
452,320593165,2,1.6,2014-06-10 20:22:35,西部公共汽车,334路,粤BH1177,1222,1222.0,22.560667000000002,113.946731,0.0,14
288,320602250,2,1.6,2014-06-10 20:22:38,西部公共汽车,334路,粤BH1177,1222,1222.0,22.560667000000002,113.946731,0.0,14
432,50471712,2,1.0,2014-06-10 20:22:47,西部公共汽车,334路,粤BH1177,1222,1222.0,22.560667000000002,113.946731,0.7952017708734604,14
424,660027935,2,1.6,2014-06-10 20:24:27,西部公共汽车,334路,粤BH1177,1224,1224.0,22.558916,113.94501399999999,0.0,13
313,326481693,2,1.6,2014-06-10 20:24:47,西部公共汽车,334路,粤BH1177,1224,1224.0,22.558916,113.94501399999999,0.0,13
289,320976941,2,1.6,2014-06-10 20:24:12,西部公共汽车,334路,粤BH1177,1224,1224.0,22.558916,113.94501399999999,-0.2736700624537387,13
447,295878891,2,1.6,2014-06-10 20:25:10,西部公共汽车,334路,粤BH1177,1225,1225.0,22.559766,113.94198600000001,0.0,12
441,291701100,2,1.6,2014-06-10 20:25:17,西部公共汽车,334路,粤BH1177,1225,1225.0,22.559766,113.94198600000001,0.0,12
311,325405366,2,1.6,2014-06-10 20:25:12,西部公共汽车,334路,粤BH1177,1225,1225.0,22.559766,113.94198600000001,0.0,12
306,323174526,2,1.6,2014-06-10 20:25:13,西部公共汽车,334路,粤BH1177,1225,1225.0,22.559766,113.94198600000001,0.9386583652637963,12
435,281094245,2,1.6,2014-06-10 20:26:20,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
433,280102363,2,1.6,2014-06-10 20:26:44,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
428,20564049,2,1.6,2014-06-10 20:26:29,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
291,321768584,2,1.6,2014-06-10 20:26:17,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
449,296203380,2,1.6,2014-06-10 20:26:15,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
317,326787233,2,1.6,2014-06-10 20:26:42,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,0.0,11
322,330101038,2,1.6,2014-06-10 20:26:13,西部公共汽车,334路,粤BH1177,1226,1226.0,22.557848999999997,113.940582,1.5111573143536194,11
294,322368711,2,1.6,2014-06-10 20:27:34,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,0.0,11
436,290068401,2,1.6,2014-06-10 20:27:22,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,0.0,11
320,329682798,2,1.6,2014-06-10 20:27:50,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,0.0,11
310,325035993,2,1.2,2014-06-10 20:27:26,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,0.0,11
444,293770773,2,1.6,2014-06-10 20:27:57,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,0.0,11
445,293778817,2,1.6,2014-06-10 20:27:19,西部公共汽车,334路,粤BH1177,1227,1227.0,22.554265,113.94036799999999,-1.5282902991661553,11
326,360935545,2,1.6,2014-06-10 20:28:54,西部公共汽车,334路,粤BH1177,1228,1228.0,22.550314999999998,113.94053600000001,0.0,10
426,660315694,2,1.6,2014-06-10 20:28:56,西部公共汽车,334路,粤BH1177,1228,1228.0,22.550314999999998,113.94053600000001,-1.545981565596964,10
425,660064124,2,1.6,2014-06-10 20:29:16,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
450,296301951,2,1.6,2014-06-10 20:29:04,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
295,322616071,2,1.6,2014-06-10 20:29:28,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
319,327278497,2,1.6,2014-06-10 20:29:10,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
292,322190840,2,1.6,2014-06-10 20:29:25,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
429,20649714,2,1.6,2014-06-10 20:29:22,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
325,360812774,2,1.6,2014-06-10 20:29:30,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
314,326519840,2,1.6,2014-06-10 20:29:00,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
321,329761304,2,1.6,2014-06-10 20:29:14,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
437,290369481,2,1.6,2014-06-10 20:29:20,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,0.0,10
293,322221355,2,1.6,2014-06-10 20:29:26,西部公共汽车,334路,粤BH1177,1229,1229.0,22.549066,113.94056699999999,-0.5896518013907939,10
312,325659658,2,1.6,2014-06-10 20:31:29,西部公共汽车,334路,粤BH1177,1231,1231.0,22.546167,113.9449,0.0,7
324,360219028,2,1.6,2014-06-10 20:31:23,西部公共汽车,334路,粤BH1177,1231,1231.0,22.546167,113.9449,0.0,7
451,297637788,2,1.6,2014-06-10 20:32:54,西部公共汽车,334路,粤BH1177,1232,1232.0,22.546167,113.9449,0.0,7
431,23570568,2,1.6,2014-06-10 20:32:48,西部公共汽车,334路,粤BH1177,1232,1232.0,22.546167,113.9449,0.0,7
430,20829442,2,1.6,2014-06-10 20:32:42,西部公共汽车,334路,粤BH1177,1232,1232.0,22.546167,113.9449,0.0,7
290,321024692,2,1.6,2014-06-10 20:32:36,西部公共汽车,334路,粤BH1177,1232,1232.0,22.546167,113.9449,-1.5635909377089892,7
328,361190393,2,1.6,2014-06-10 20:33:24,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.0,5
440,291184369,2,1.6,2014-06-10 20:33:39,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.0,5
443,293713889,2,1.6,2014-06-10 20:33:37,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.0,5
308,323889238,2,1.6,2014-06-10 20:33:07,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.0,5
427,20170004,2,1.6,2014-06-10 20:33:23,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.0,5
318,327209223,2,1.6,2014-06-10 20:33:36,西部公共汽车,334路,粤BH1177,1233,1233.0,22.539783,113.944946,0.3613503776862,5
439,290778987,2,1.6,2014-06-10 20:34:35,西部公共汽车,334路,粤BH1177,1234,1234.0,22.539382,113.94388500000001,0.8947044635878837,5
438,290534711,2,1.6,2014-06-10 20:41:22,西部公共汽车,334路,粤BH1177,1241,1241.0,22.521424285714286,113.92947900000001,0.0,3
446,294572315,2,1.6,2014-06-10 20:41:46,西部公共汽车,334路,粤BH1177,1241,1241.0,22.521424285714286,113.92947900000001,1.4837639141702281,3
434,280268894,2,1.2,2014-06-10 21:16:08,西部公共汽车,334路,粤BH1177,1276,1276.0,22.486732,113.926452,1.409689475139251,3
316,326621984,2,1.6,2014-06-10 21:19:11,西部公共汽车,334路,粤BH1177,1279,1279.0,22.500583,113.928703,0.0,3
323,330673946,2,1.6,2014-06-10 21:19:09,西部公共汽车,334路,粤BH1177,1279,1279.0,22.500583,113.928703,-1.3644724327648845,3
296,322908951,5,3.9,2014-06-10 21:21:52,西部公共汽车,334路,粤BH1177,1281,1281.0,22.502733,113.928253,0.0,3
329,441170880,2,1.6,2014-06-10 21:21:44,西部公共汽车,334路,粤BH1177,1281,1281.0,22.502733,113.928253,-1.394564443887886,3
496,322908951,1,0.8,2014-06-10 21:22:17,西部公共汽车,334路,粤BH1177,1282,1282.0,22.50745,113.92741299999999,1.5458707421150277,3
486,297802754,2,1.6,2014-06-10 21:23:15,西部公共汽车,334路,粤BH1177,1283,1283.0,22.509616,113.927467,1.532562459785753,3
339,30002411,2,1.6,2014-06-10 21:26:22,西部公共汽车,334路,粤BH1177,1286,1286.0,22.519184,113.927833,0.0,3
388,329559483,2,1.6,2014-06-10 21:26:18,西部公共汽车,334路,粤BH1177,1286,1286.0,22.519184,113.927833,0.0,3
355,292179262,2,1.6,2014-06-10 21:26:15,西部公共汽车,334路,粤BH1177,1286,1286.0,22.519184,113.927833,0.0,3
457,361357690,2,1.6,2014-06-10 21:26:27,西部公共汽车,334路,粤BH1177,1286,1286.0,22.519184,113.927833,0.0,3
343,285076615,2,1.6,2014-06-10 21:26:31,西部公共汽车,334路,粤BH1177,1286,1286.0,22.519184,113.927833,1.0608092697936051,3
341,280853316,4,3.15,2014-06-10 21:31:28,西部公共汽车,334路,粤BH1177,1291,1291.0,22.534679,113.9365,0.7117306051467323,3
371,323894660,5,3.9,2014-06-10 21:33:48,西部公共汽车,334路,粤BH1177,1293,1293.0,22.539266,113.941818,0.030580412905685878,5
374,325414382,2,1.6,2014-06-10 21:34:22,西部公共汽车,334路,粤BH1177,1294,1294.0,22.53935,113.94456399999999,-1.2071541273052357,5
477,294489388,2,1.6,2014-06-10 21:36:14,西部公共汽车,334路,粤BH1177,1296,1296.0,22.546266,113.94193200000001,0.0,9
493,322252611,2,1.6,2014-06-10 21:36:17,西部公共汽车,334路,粤BH1177,1296,1296.0,22.546266,113.94193200000001,0.0,9
345,290310497,2,1.6,2014-06-10 21:36:59,西部公共汽车,334路,粤BH1177,1296,1296.0,22.546266,113.94193200000001,0.0,9
353,291935738,2,1.6,2014-06-10 21:36:07,西部公共汽车,334路,粤BH1177,1296,1296.0,22.546266,113.94193200000001,0.0,9
463,292705295,2,1.6,2014-06-10 21:36:09,西部公共汽车,334路,粤BH1177,1296,1296.0,22.546266,113.94193200000001,0.0,9
489,321592587,2,1.6,2014-06-10 21:37:11,西部公共汽车,334路,粤BH1177,1297,1297.0,22.546266,113.94193200000001,0.0,9
471,293895761,2,1.6,2014-06-10 21:37:01,西部公共汽车,334路,粤BH1177,1297,1297.0,22.546266,113.94193200000001,0.0,9
381,327513407,2,1.6,2014-06-10 21:37:03,西部公共汽车,334路,粤BH1177,1297,1297.0,22.546266,113.94193200000001,0.0,9
340,280260891,2,1.6,2014-06-10 21:37:27,西部公共汽车,334路,粤BH1177,1297,1297.0,22.546266,113.94193200000001,-1.3260468742621376,9
458,361368439,5,3.9,2014-06-10 21:38:31,西部公共汽车,334路,粤BH1177,1298,1298.0,22.551399,113.94065,0.0,10
330,20021052,5,3.9,2014-06-10 21:38:22,西部公共汽车,334路,粤BH1177,1298,1298.0,22.551399,113.94065,0.0,10
473,294080283,2,1.6,2014-06-10 21:38:16,西部公共汽车,334路,粤BH1177,1298,1298.0,22.551399,113.94065,0.0,10
399,360933920,4,3.15,2014-06-10 21:38:40,西部公共汽车,334路,粤BH1177,1298,1298.0,22.551399,113.94065,-1.4274642361906082,10
334,20403494,2,1.6,2014-06-10 21:39:14,西部公共汽车,334路,粤BH1177,1299,1299.0,22.552667,113.940467,0.0,10
372,324436813,5,3.9,2014-06-10 21:39:48,西部公共汽车,334路,粤BH1177,1299,1299.0,22.552667,113.940467,0.0,10
500,323804493,2,1.6,2014-06-10 21:39:41,西部公共汽车,334路,粤BH1177,1299,1299.0,22.552667,113.940467,0.0,10
348,291055206,6,4.65,2014-06-10 21:39:04,西部公共汽车,334路,粤BH1177,1299,1299.0,22.552667,113.940467,0.0,10
